service_id,date,exception_type
4503857325513847,20230501,2
4503857325513851,20230429,1
4503857325513851,20230430,1
4503857325513851,20230501,2
4503857325513866,20230424,2
4503857325513866,20230425,2
4503857325513866,20230426,2
4503857325513866,20230427,2
4503857325513866,20230428,2
4503857325513866,20230430,1
4503857325513868,20230421,2
4503857325513868,20230427,1
4503857325513868,20230429,1
4503857325513868,20230430,2
4503857325513868,20230501,2
4503857325513868,20230504,1
4503857325513872,20230426,1
4503857325513872,20230429,2
4503857325513872,20230430,1
4503857325513872,20230501,2
4503857325513872,20230503,1
4503857325513878,20230424,1
4503857325513878,20230425,1
4503857325513878,20230427,1
4503857325513878,20230429,2
4503857325513878,20230502,1
4503857325513878,20230504,1
4503857325513885,20230427,1
4503857325513885,20230501,2
4503857325513885,20230504,1
4503857325513890,20230426,2
4503857325513890,20230427,2
4503857325513890,20230428,2
4503857325513890,20230430,1
4503857325513892,20230424,2
4503857325513892,20230425,2
4503857325513892,20230427,2
4503857325513892,20230428,2
4503857325513892,20230429,1
4503857325513899,20230424,2
4503857325513899,20230425,2
4503857325513899,20230426,2
4503857325513899,20230430,1
4503857325513901,20230424,2
4503857325513901,20230425,2
4503857325513901,20230428,2
4503857325513901,20230429,2
4503857325513901,20230430,1
4503857325513915,20230426,1
4503857325513915,20230427,1
4503857325513915,20230430,2
4503857325513915,20230501,2
4503857325513915,20230503,1
4503857325513915,20230504,1
4503857325513928,20230426,1
4503857325513928,20230427,1
4503857325513928,20230428,1
4503857325513928,20230501,2
4503857325513928,20230503,1
4503857325513928,20230504,1
4503857325513928,20230505,1
4503857325513936,20230426,1
4503857325513936,20230428,1
4503857325513936,20230501,2
4503857325513936,20230503,1
4503857325513936,20230505,1
4503857325513942,20230426,2
4503857325513942,20230503,2
4503857325513962,20230427,2
4503857325513962,20230428,1
4503857325513962,20230430,2
4503857325513962,20230504,2
4503857325513962,20230505,1
4503857325513969,20230428,1
4503857325513969,20230505,1
4503857325513971,20230427,2
4503857325513971,20230429,2
4503857325513971,20230430,2
